"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.392125000E-3,-2.971592247E-1,-4.049433023E-2,-7.322097421E-1,7.912486980E-1
1.740812500E-2,-3.734548986E-1,-9.509965032E-2,-7.989099026E-1,8.870003028E-1
2.742412500E-2,-4.054575861E-1,3.628660366E-2,-8.469349742E-1,9.396868746E-1
3.744012500E-2,-3.407295644E-1,1.959726810E-1,-9.177506566E-1,9.983827901E-1
4.745612500E-2,-2.293077111E-1,3.241769969E-1,-9.830883741E-1,1.060252566E0
5.747212500E-2,-1.974279135E-1,3.805812299E-1,-1.015112400E0,1.101940578E0
6.748812500E-2,-2.365223169E-1,3.130554557E-1,-1.015775442E0,1.088919774E0
7.750412500E-2,-2.632678151E-1,1.847479939E-1,-1.007939100E0,1.058008976E0
8.752012500E-2,-2.465902865E-1,1.511929631E-1,-9.991120100E-1,1.040139842E0
9.753612500E-2,-2.047725767E-1,2.632471621E-1,-9.836249352E-1,1.038628369E0
1.075511250E-1,-1.526430696E-1,3.983682394E-1,-9.578884244E-1,1.048593055E0
1.175671250E-1,-9.100442380E-2,4.596953988E-1,-9.214788079E-1,1.033791497E0
1.275831250E-1,-4.095431045E-2,4.375248551E-1,-8.689774871E-1,9.737695454E-1
1.375991250E-1,-2.200393751E-2,3.688623607E-1,-8.047952652E-1,8.855727149E-1
1.476151250E-1,-7.896373980E-3,3.186029196E-1,-7.265204191E-1,7.933486576E-1
1.576311250E-1,3.026992083E-2,3.243127465E-1,-6.495159268E-1,7.266126650E-1
1.676471250E-1,8.911059797E-2,3.746510148E-1,-5.647267103E-1,6.835351775E-1
1.776631250E-1,1.277817190E-1,4.306712151E-1,-4.732714593E-1,6.525271928E-1
1.876791250E-1,1.436877102E-1,4.616315067E-1,-3.699826300E-1,6.087995996E-1
1.976951250E-1,1.571739167E-1,4.468609095E-1,-2.651917338E-1,5.428765681E-1
2.077111250E-1,1.764072627E-1,4.331352413E-1,-1.556090415E-1,4.928892709E-1
2.177271250E-1,1.977410167E-1,4.398534894E-1,-4.585867748E-2,4.844332979E-1
2.277431250E-1,2.127729654E-1,4.469017982E-1,6.791130453E-2,4.996053416E-1
2.377591250E-1,2.214823812E-1,4.350089729E-1,1.766072214E-1,5.191120903E-1
2.477751250E-1,2.163890749E-1,4.102825820E-1,2.873505056E-1,5.456430536E-1
2.577911250E-1,2.011878192E-1,4.030113220E-1,3.893751502E-1,5.954054685E-1
2.678071250E-1,1.857848912E-1,4.218771458E-1,4.901995063E-1,6.728981408E-1
